Line in Christus Patiens,Work ID,Line in work,Number of words matching
1877,14,659,4
1878,14,658,1
1878,14,659,1
1880,11,71,3
1883,14,660,3
1888,11,1078,2
1890,5,1260,2
1891,5,1261,1
1892,5,1262,1
1905,13,727,2
1908,14,587,4
1909,14,588,1
1910,14,125,2
1910,14,589,1
1911,14,2,0
1913,14,141,3
1913,14,92,0
1916,14,130,3
1917,14,141,4
1918,15,860,0
1920,8,1416,5
1921,8,1418,2
1925,14,185,2
1927,14,179,0
1928,5,443,0
1929,5,444,3
1930,5,838,5
1931,14,147,6
1932,14,148,4
1933,14,149,3
1934,14,150,1
1935,14,151,3
1941,14,154,5
1942,14,155,1
1943,14,156,0
1944,14,223,6
1945,14,157,4
1946,11,719,2
1947,14,159,0
1947,14,160,1
1949,14,126,2
1950,14,124,0
1951,14,465,0
1964,14,161,4
1965,14,162,4
1966,14,163,6
1968,14,164,4
1969,14,339,7
1970,14,164,1
1970,14,165,2
1972,14,181,4
1973,14,189,2
1973,11,947,3
1974,11,948,7
1975,14,196,1
1976,11,460,3
1978,14,175,1
1979,14,667,3
1980,14,570,6
1981,14,571,4
1982,11,688,4
1985,11,974,3
1986,11,975,0
1987,11,866,2
1988,11,867,6
1994,5,692,3
1995,14,532,3
1996,14,8,3
1997,14,534,4
1998,14,535,3
1998,14,537,2
1999,14,554,4
1999,14,555,2
2000,14,555,1
2000,14,556,1
2001,14,555,1
2002,14,770,1
2003,14,824,2
2003,14,42,3
2004,14,582,1
2005,14,596,0
2006,14,582,3
2007,5,692,4
2008,14,582,1
2008,12,136,1
2009,14,594,2
2010,14,991,3
2011,14,992,5
2013,5,1086,3
2014,5,1090,4
2015,5,1091,2
2016,5,1088,1
2017,5,1089,2
2018,5,693,4
2021,6,32,3
2023,11,1397,1
2023,11,1071,1
2025,14,367,3
2025,14,369,1
2026,6,1,5
2026,14,369,1
2027,6,2,5
2029,14,370,2
2031,14,574,0
2032,14,574,4
2033,14,577,7
2034,14,578,6
2035,14,579,5
2036,14,580,5
2037,14,581,3
2038,14,594,4
2039,5,733,0
2040,14,583,4
2041,14,584,0
2054,6,1069,3
2058,14,618,0
2060,12,137,3
2070,5,445,0
2072,5,448,2
2073,5,445,1
2074,5,446,2
2075,5,447,2
2076,15,860,5
2083,14,370,2
2095,14,284,7
2096,14,285,4
2098,14,388,3
2099,14,391,1
2100,5,1031,1
2102,11,1195,1
2103,14,291,0
2104,12,137,3
2122,8,912,5
2123,8,913,4
2127,16,342,1
2128,12,137,3
2138,14,291,1
2174,15,477,0
2175,15,478,0
2176,14,736,4
2177,14,737,6
2178,9,871,3
2179,8,1419,3
2180,14,38,2
2180,14,39,1
2181,11,663,1
2182,11,663,3
2183,11,664,4
2184,14,272,7
2185,14,265,1
2186,14,39,1
2186,14,280,0
2187,14,281,7
2188,14,494,2
2189,14,282,1
2190,14,275,2
2192,5,1032,2
2193,14,94,2
2194,14,41,1
2194,14,42,3
2194,14,88,0
2196,14,45,2
2197,14,88,1
2198,14,46,1
2198,14,47,1
2198,14,88,1
2199,14,89,0
2202,5,1223,4
2203,12,136,1
